                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2484876 |  878133169 |  878130510 |  1053719233
  Cycles                             |  615599640 |  615599640 |  615599640 |   615599640
  IPC                                |       0.00 |       1.43 |       1.43 |        1.71
  Time (ns)                          |  170999900 |  170999900 |  170999900 |   170999900
  Idle time (ns)                     |  169944425 |   29299278 |   29022325 |     1058696
  Idle time (%)                      |      99.4% |      17.1% |      17.0% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     338883 |   93928668 |   93928374 |   112707632
  num incorrect                      |      17116 |    2810726 |    2810680 |     3371735
  misprediction rate                 |      4.81% |      2.91% |      2.91% |       2.90%
  mpki                               |       6.89 |       3.20 |       3.20 |        3.20
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218327 |  141205956 |  141205690 |   169442084
    num misses                       |        202 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794079 |  333500922 |  333499852 |   400185290
    num misses                       |       2212 |        129 |        101 |          90
    miss rate                        |      0.28% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.89 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2414 |        168 |        140 |         123
    num misses                       |        537 |        144 |        139 |         122
    miss rate                        |     22.25% |     85.71% |     99.29% |      99.19%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218327 |  141205956 |  141205690 |   169442084
    num cache misses                 |      33225 |    2022683 |    2022562 |     2423073
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794079 |  333500922 |  333499852 |   400185290
    num cache misses                 |      21182 |    5461832 |    5447473 |     6630150
    miss rate                        |      2.67% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.52 |       6.22 |       6.20 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      55170 |    7512638 |    7496945 |     9085133
    num cache misses                 |      19972 |     530555 |     532654 |      622453
    miss rate                        |     36.20% |      7.06% |      7.10% |       6.85%
    mpki                             |       8.04 |       0.60 |       0.61 |        0.59
DRAM summary                         |            |            |            |            
  num dram accesses                  |     774437 |     569300 |     555876 |      479671
  average dram access latency (ns)   |      26.38 |      25.24 |      26.58 |       25.20
  average dram queueing delay        |       2.95 |       1.81 |       3.15 |        1.77
  average dram bandwidth utilization |      3.00% |      2.00% |      2.00% |       2.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |      13922 |     144545 |     148569 |      177014
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         12 |       4148 |       1840 |        2331
