                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2483811 |  878133169 |  878130513 |  1053719223
  Cycles                             |  585977400 |  585977400 |  585977400 |   585977400
  IPC                                |       0.00 |       1.50 |       1.50 |        1.80
  Time (ns)                          |  162771500 |  162771500 |  162771500 |   162771500
  Idle time (ns)                     |  161797974 |   27787763 |   27759001 |      977296
  Idle time (%)                      |      99.4% |      17.1% |      17.1% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     338505 |   93914859 |   93914560 |   112690700
  num incorrect                      |      17170 |    2824535 |    2824494 |     3388664
  misprediction rate                 |      4.83% |      2.92% |      2.92% |       2.92%
  mpki                               |       6.91 |       3.22 |       3.22 |        3.22
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218204 |  141205956 |  141205690 |   169442082
    num misses                       |        198 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     793861 |  333500922 |  333499852 |   400185285
    num misses                       |       2381 |       9128 |      24483 |       13429
    miss rate                        |      0.30% |      0.00% |      0.01% |       0.00%
    mpki                             |       0.96 |       0.01 |       0.03 |        0.01
  L2 TLB                             |            |            |            |            
    num accesses                     |       2579 |       9167 |      24522 |       13462
    num misses                       |        536 |        145 |        139 |         122
    miss rate                        |     20.78% |      1.58% |      0.57% |       0.91%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218204 |  141205956 |  141205690 |   169442082
    num cache misses                 |      33227 |    2022683 |    2022562 |     2423073
    miss rate                        |     15.23% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.38 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     793861 |  333500922 |  333499852 |   400185285
    num cache misses                 |      21179 |    5461828 |    5447466 |     6630769
    miss rate                        |      2.67% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.53 |       6.22 |       6.20 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      54918 |    7484714 |    7470228 |     9054076
    num cache misses                 |      19966 |     528684 |     532039 |      608428
    miss rate                        |     36.36% |      7.06% |      7.12% |       6.72%
    mpki                             |       8.04 |       0.60 |       0.61 |        0.58
  Cache L3                           |            |            |            |            
    num cache accesses               |      20480 |     528896 |     532250 |      608671
    num cache misses                 |      13183 |       4349 |       4290 |        4859
    miss rate                        |     64.37% |      0.82% |      0.81% |       0.80%
    mpki                             |       5.31 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |       6655 |       6631 |       6690 |        6694
  average dram access latency (ns)   |      56.95 |      49.75 |      56.04 |       50.10
  average dram queueing delay        |      33.52 |      26.32 |      32.62 |       26.67
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       8953 |        324 |        408 |         409
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         42 |        241 |        117 |         128
