                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485397 |  878130603 |  878133079 |  1053719223
  Cycles                             |  602840160 |  602840160 |  602840160 |   602840160
  IPC                                |       0.00 |       1.46 |       1.46 |        1.75
  Time (ns)                          |  167455600 |  167455600 |  167455600 |   167455600
  Idle time (ns)                     |  166400522 |   28646980 |   28871620 |     1058393
  Idle time (%)                      |      99.4% |      17.1% |      17.2% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     338948 |   93906866 |   93907141 |   112681900
  num incorrect                      |      17210 |    2832198 |    2832243 |     3397464
  misprediction rate                 |      4.83% |      2.93% |      2.93% |       2.93%
  mpki                               |       6.92 |       3.23 |       3.23 |        3.22
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218380 |  141205701 |  141205945 |   169442082
    num misses                       |        202 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794240 |  333499860 |  333500914 |   400185285
    num misses                       |       2460 |        101 |        137 |          90
    miss rate                        |      0.31% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.99 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2662 |        140 |        176 |         123
    num misses                       |        542 |        139 |        145 |         122
    miss rate                        |     20.36% |     99.29% |     82.39% |      99.19%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218380 |  141205701 |  141205945 |   169442082
    num cache misses                 |      33219 |    2022573 |    2022672 |     2423073
    miss rate                        |     15.21% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794240 |  333499860 |  333500914 |   400185285
    num cache misses                 |      21166 |    5469200 |    5454761 |     6639498
    miss rate                        |      2.66% |      1.64% |      1.64% |       1.66%
    mpki                             |       8.52 |       6.23 |       6.21 |        6.30
  Cache L2                           |            |            |            |            
    num cache accesses               |      55143 |    7517802 |    7502548 |     9091752
    num cache misses                 |      19910 |     505317 |     480226 |      595587
    miss rate                        |     36.11% |      6.72% |      6.40% |       6.55%
    mpki                             |       8.01 |       0.58 |       0.55 |        0.57
DRAM summary                         |            |            |            |            
  num dram accesses                  |     411204 |     564110 |     640228 |      721951
  average dram access latency (ns)   |      24.95 |      24.96 |      25.42 |       25.23
  average dram queueing delay        |       1.53 |       1.53 |       1.99 |        1.80
  average dram bandwidth utilization |      2.00% |      2.00% |      3.00% |       3.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |      13909 |     159865 |     152320 |      190720
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         12 |       4294 |       3429 |        5161
