                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2484887 |  878133160 |  878130497 |  1053719223
  Cycles                             |  577842120 |  577842120 |  577842120 |   577842120
  IPC                                |       0.00 |       1.52 |       1.52 |        1.82
  Time (ns)                          |  160511700 |  160511700 |  160511700 |   160511700
  Idle time (ns)                     |  159537722 |   27512314 |   27472689 |      977130
  Idle time (%)                      |      99.4% |      17.1% |      17.1% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     338756 |   93967407 |   93967117 |   112754311
  num incorrect                      |      17247 |    2771986 |    2771935 |     3325053
  misprediction rate                 |      4.84% |      2.87% |      2.87% |       2.86%
  mpki                               |       6.94 |       3.16 |       3.16 |        3.16
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218327 |  141205952 |  141205685 |   169442082
    num misses                       |        197 |         39 |         39 |          33
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794163 |  333500921 |  333499850 |   400185285
    num misses                       |       2429 |       2019 |        102 |          92
    miss rate                        |      0.31% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.98 |       0.00 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2626 |       2058 |        141 |         125
    num misses                       |        549 |        144 |        139 |         122
    miss rate                        |     20.91% |      7.00% |     98.58% |      97.60%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218327 |  141205952 |  141205685 |   169442082
    num cache misses                 |      33238 |    2022681 |    2022558 |     2423073
    miss rate                        |     15.22% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.38 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794163 |  333500921 |  333499850 |   400185285
    num cache misses                 |      21146 |    5463534 |    5449173 |     6631852
    miss rate                        |      2.66% |      1.64% |      1.63% |       1.66%
    mpki                             |       8.51 |       6.22 |       6.21 |        6.29
  Cache L2                           |            |            |            |            
    num cache accesses               |      54895 |    7486419 |    7471931 |     9055159
    num cache misses                 |      19931 |     398502 |     390924 |      483044
    miss rate                        |     36.31% |      5.32% |      5.23% |       5.33%
    mpki                             |       8.02 |       0.45 |       0.45 |        0.46
  Cache L3                           |            |            |            |            
    num cache accesses               |      20444 |     398713 |     391133 |      483287
    num cache misses                 |      13184 |       4348 |       4287 |        4859
    miss rate                        |     64.49% |      1.09% |      1.10% |       1.01%
    mpki                             |       5.31 |       0.00 |       0.00 |        0.00
DRAM summary                         |            |            |            |            
  num dram accesses                  |       6655 |       6619 |       6691 |        6689
  average dram access latency (ns)   |      53.35 |      46.56 |      52.86 |       46.83
  average dram queueing delay        |      29.92 |      23.13 |      29.43 |       23.40
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |       8950 |        367 |        408 |         379
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         42 |        204 |        117 |         168
